Taxon,live_trade_ratio,mean_appendix_risk,top_exporter,poaching_risk_score,CPI
Crocodylus Niloticus,0.005446166736489317,2.050203297772536,Italy,1.0,2.1585754808879316
Python Reticulatus,0.016897746967071057,2.0,Italy,0.9826084503493092,2.0826656570086803
Crocodylus Porosus,0.002136752136752137,2.1446188062911227,France,0.8582841087964257,1.9500042956899946
Alligator Mississippiensis,0.009051929490233444,2.0,Italy,0.8036490191174379,1.715025208965334
Python Bivittatus,0.031453362255965296,2.0,Italy,0.7246685951020374,1.5737031221541389
Varanus Salvator,0.03229166666666667,2.0,Italy,0.6422575027651867,1.4068691540571658
